signal_date,trade_date,trade_type,strategy_model,first_bar_mode,retrain_period,use_train_weights,position_sizing,position,strategy_ret,benchmark_ret,strategy_equity,benchmark_equity
2017-10-26T17:00:00Z,2017-10-26T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.000937426763534033,-0.000937426763534033,0.999062573236466,0.999062573236466
2017-10-26T18:00:00Z,2017-10-26T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00062553757135031,-0.00062553757135031,0.999687524412155,0.998437622060777
2017-10-27T13:00:00Z,2017-10-27T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.00159831592078596,0.00159831592078596,1.00128534089823,1.00003344080803
2017-10-27T14:00:00Z,2017-10-27T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.00206281866656277,0.00206281866656277,1.00335081098999,1.00209632845691
2017-10-27T15:00:00Z,2017-10-27T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000582637405321718,0.000582637405321718,1.00393540070314,1.00268018726161
2017-10-27T16:00:00Z,2017-10-27T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000349378881987494,0.000349378881987494,1.00428615453102,1.00303050254442
2017-10-27T17:00:00Z,2017-10-27T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000194031588342636,-0.000194031588342636,1.00448101776874,1.00283588294286
2017-10-27T18:00:00Z,2017-10-27T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000271696941468891,0.000271696941468891,1.00475393218903,1.00310835038505
2017-10-30T13:00:00Z,2017-10-30T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000777393399930215,0.000777393399930215,1.00553502126447,1.00388816019606
2017-10-30T14:00:00Z,2017-10-30T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.00225268963374381,-0.00225268963374381,1.0032698629457,1.00162671174414
2017-10-30T15:00:00Z,2017-10-30T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00027250077857377,-0.00027250077857377,1.00354325476447,1.00135376768535
2017-10-30T16:00:00Z,2017-10-30T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00038940809968846,-0.00038940809968846,1.00393404263626,1.00096383241756
2017-10-30T17:00:00Z,2017-10-30T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.000623271395738367,0.000623271395738367,1.00330831926428,1.00158770454248
2017-10-30T18:00:00Z,2017-10-30T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000467162377856378,-0.000467162377856378,1.00377702716443,1.00111980044879
2017-10-31T13:00:00Z,2017-10-31T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000778391842453319,0.000778391842453319,1.00455835901402,1.00189906393478
2017-10-31T14:00:00Z,2017-10-31T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000622253334888967,0.000622253334888967,1.005183448803,1.00252249896853
2017-10-31T15:00:00Z,2017-10-31T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000349786241741312,-0.000349786241741312,1.00553504814382,1.00217183039136
2017-10-31T16:00:00Z,2017-10-31T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.000233263354326718,0.000233263354326718,1.0053004936656,1.00240560035413
2017-10-31T17:00:00Z,2017-10-31T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000233218019979109,0.000233218019979109,1.00553494785622,1.00263937940346
2017-10-31T18:00:00Z,2017-10-31T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.000699490926048263,-0.000699490926048263,1.00483158528437,1.00193804225547
2017-11-01T13:00:00Z,2017-11-01T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.00139378218281783,-0.00139378218281783,1.00343106892406,1.00054155886388
2017-11-01T14:00:00Z,2017-11-01T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.00158951694192444,-0.00158951694192444,1.00183609823996,0.998951181104971
2017-11-01T15:00:00Z,2017-11-01T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.000194152137614978,0.000194152137614978,1.00164158961994,0.999145129612155
2017-11-01T16:00:00Z,2017-11-01T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000504736760366442,-0.000504736760366442,1.00214715495094,0.998640824336299
2017-11-01T17:00:00Z,2017-11-01T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.000854568054692528,0.000854568054692528,1.00129075200621,0.999494230882888
2017-11-01T18:00:00Z,2017-11-01T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.000659784211752057,-0.000659784211752057,1.00063011617667,0.998834780369615
2017-11-02T13:00:00Z,2017-11-02T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.00170960096359329,-0.00170960096359329,0.99891943796585,0.997127171466624
2017-11-02T14:00:00Z,2017-11-02T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000311344619575715,0.000311344619575715,0.99923044615825,0.997437621646493
2017-11-02T15:00:00Z,2017-11-02T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.00120603797074392,0.00120603797074392,1.00043555601784,0.998640569291647
2017-11-02T16:00:00Z,2017-11-02T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00066057897804539,-0.00066057897804539,1.00109642271504,0.99798088832495
2017-11-02T17:00:00Z,2017-11-02T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000466599268994505,-0.000466599268994505,1.00156353357407,0.997515231171987
2017-11-02T18:00:00Z,2017-11-02T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.00206177546098174,0.00206177546098174,0.99949853445793,0.999571883597573
2017-11-03T13:00:00Z,2017-11-03T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000543710435356504,0.000543710435356504,1.00004197224124,1.00011536126157
2017-11-03T14:00:00Z,2017-11-03T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.00116441546343737,0.00116441546343737,1.0012064365778,1.00127991105345
2017-11-03T15:00:00Z,2017-11-03T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000697782601953856,0.000697782601953856,1.00190506101021,1.00197858675507
2017-11-03T16:00:00Z,2017-11-03T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000852250716665504,0.000852250716665504,1.00275893531649,1.00283252372371
2017-11-03T17:00:00Z,2017-11-03T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.0001548227279764,0.0001548227279764,1.00291418519036,1.00298778499074
2017-11-03T18:00:00Z,2017-11-03T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.000154792771177359,0.000154792771177359,1.00275894132438,1.00314304024943
2017-11-06T14:00:00Z,2017-11-06T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,7.73425113114179e-05,7.73425113114179e-05,1.00283649721914,1.00322062585137
2017-11-06T15:00:00Z,2017-11-06T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.000193341324774665,-0.000193341324774665,1.00264260748223,1.00302666184653
2017-11-06T16:00:00Z,2017-11-06T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.000812159183199768,0.000812159183199768,1.0018283020811,1.00384127916094
2017-11-06T17:00:00Z,2017-11-06T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.00015456547780035,0.00015456547780035,1.00167345401091,1.00399643836789
2017-11-06T18:00:00Z,2017-11-06T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000424989375265694,0.000424989375265694,1.00209915458636,1.004423126187
2017-11-06T19:00:00Z,2017-11-06T20:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000308963812613472,-0.000308963812613472,1.00240876696177,1.00411279578846
2017-11-07T14:00:00Z,2017-11-07T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.00177469135802455,-0.00177469135802455,1.00062980078584,1.00233080548729
2017-11-07T15:00:00Z,2017-11-07T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.00189364662235281,-0.00189364662235281,0.998734961543354,1.000432745143
