model,n,mean_bp,sd_bp,t_stat,annualized_return,annualized_sd,annualized_sharpe,hit_rate,cum_return,max_drawdown,first_bar_mode,retrain_period,use_train_weights,position_sizing,annual_scale,long_share,avg_abs_position,max_abs_position,first_bar_trades,retrain_count
linear_minmax_plus_hour,14909,1.28056343147292,43.14266758342,3.62425175861625,0.23292374651673,0.181199203850364,1.28545678770797,0.503051847877121,4.86916068851336,0.262136022325341,close_to_open,year,FALSE,sign,1764,0.409282983432826,1,1,2138,10
linear_minmax_plus_hour,14909,1.18378979249519,43.1454315848128,3.35014828741296,0.212072638359523,0.181210812656214,1.17030896363706,0.505667717486082,4.08122699821848,0.262136022325341,close_to_open,static,TRUE,sign,1764,0.485143202092696,1,1,2138,1
linear_minmax_plus_hour,14909,0.892379455488719,35.3727213861966,3.08038746410677,0.157550006932865,0.148565429822026,1.06047555694216,0.503051847877121,2.443707472544,0.256293744049111,close_to_open,year,FALSE,zscore_1x,1764,0.409282983432826,0.522925391125084,1,2138,10
linear_minmax_plus_hour,14909,1.03342617293217,43.1492952158057,2.92435442736725,0.180353135006353,0.181227039906384,0.995177844870822,0.496210342745992,3.06098773431605,0.262136022325341,close_to_open,static,FALSE,sign,1764,0.417398886578577,1,1,2138,1
linear_minmax_plus_hour,14909,1.02231752906803,43.1495598549654,2.89290182025209,0.178004052920697,0.181228151390855,0.982209725997791,0.504929908109196,2.99318466563527,0.350408359530284,close_to_open,year,TRUE,sign,1764,0.454155208263465,1,1,2138,10
linear_minmax_plus_hour,14909,0.792807419408822,35.1584962681132,2.75335158298403,0.137559016635169,0.147665684326075,0.931557099829717,0.505667717486082,1.9722224407567,0.260887822081286,close_to_open,static,TRUE,zscore_1x,1764,0.485143202092696,0.539240438513971,1,2138,1
linear_minmax_plus_hour,12772,0.774481279213312,34.0102502665833,2.5735378006986,0.114464852776472,0.13224696783941,0.86553858017727,0.501879110554338,1.49789349043468,0.204421717273908,exclude,static,TRUE,sign,1512,0.53554650798622,1,1,0,1
linear_minmax_plus_hour,14909,0.704976521573052,33.4721614243709,2.57166949681274,0.121189534703322,0.140583077982358,0.862049234108606,0.504929908109196,1.62952902813104,0.29286670821756,close_to_open,year,TRUE,zscore_1x,1764,0.454155208263465,0.460305079349641,1,2138,10
linear_minmax_plus_hour,12772,0.578764587313857,26.0756502467498,2.50839691482594,0.0858736044703998,0.101393716674936,0.846932209277886,0.501879110554338,1.00553740253375,0.175430196530077,exclude,static,TRUE,zscore_1x,1512,0.53554650798622,0.532737540130396,1,0,1
linear_minmax_plus_hour,14909,0.703919315352329,35.556508661199,2.41728595775909,0.119584573075835,0.149337336377036,0.800768086380732,0.496210342745992,1.59788453531303,0.260044303275681,close_to_open,static,FALSE,zscore_1x,1764,0.417398886578577,0.535789469558748,1,2138,1
linear_minmax,14909,0.648399443036963,33.7119233386193,2.34846104006351,0.110011804809151,0.141590078022201,0.776973968415365,0.504594540210611,1.41601944619976,0.16844139319122,next_open_close,static,FALSE,sign,1764,0.481655375947414,1,1,2138,1
linear_minmax,12772,0.697513713886108,34.0119159698151,2.31766737948296,0.101568694008884,0.132253444833845,0.767985243306803,0.507751331036643,1.26399590706576,0.163222779492975,exclude,static,FALSE,sign,1512,0.524115252113999,1,1,0,1
linear_minmax,12772,0.536632182501324,26.6411903743721,2.27642079006678,0.0787351575238044,0.103592788027935,0.76004477746629,0.507124960851863,0.896856848896853,0.145030387888804,exclude,year,FALSE,zscore_1x,1512,0.528656435953649,0.556842430503389,1,0,10
linear_minmax,12772,0.515184829623113,25.7084068547186,2.26473481657106,0.0756347696161988,0.0999657111567616,0.756607127994036,0.507907923582837,0.851295246652304,0.140841717675971,exclude,year,TRUE,zscore_1x,1512,0.521531475101785,0.571497372842472,1,0,10
linear_minmax_plus_hour,12772,0.514273729428364,25.7874269940544,2.25380212148769,0.0754530026834601,0.100272976576554,0.752475943763924,0.503053554650799,0.848654300202797,0.176389756404087,exclude,year,TRUE,zscore_1x,1512,0.508299404948325,0.57757237600966,1,0,10
linear_minmax_plus_hour,14909,1.09568129363816,57.6031503971384,2.32253500421587,0.177478639135988,0.241933231667981,0.733585204117606,0.503051847877121,2.97815662448431,0.494032285763941,close_to_open,year,FALSE,zscore_2x,1764,0.409282983432826,0.606276508699435,2,2138,10
linear_minmax_plus_hour,14909,0.96997806245331,52.1189314502816,2.27243079672856,0.157990991240523,0.218899512091183,0.721751226081819,0.504929908109196,2.45481138631663,0.458779677807045,close_to_open,year,TRUE,zscore_2x,1764,0.454155208263465,0.527329420273208,2,2138,10
linear_minmax,14909,0.605713384882245,33.7127173617457,2.19380321441703,0.101684223346269,0.141593412919332,0.71814232915058,0.505399423167214,1.26703927485976,0.19096490403981,next_open_close,year,FALSE,sign,1764,0.493460325977597,1,1,2138,10
linear_minmax,12772,0.512176073258247,27.2231803520516,2.12622823372528,0.0744985806669105,0.105855823708583,0.703774039603172,0.50782962730974,0.834841647975349,0.15220057504976,exclude,static,TRUE,zscore_1x,1512,0.536720952082681,0.577366193809221,1,0,1
linear_minmax,14909,0.593280237189004,33.7129384684529,2.14875812176781,0.0992681744079289,0.141594341567502,0.701074444847113,0.505198202428064,1.22536086350159,0.17620963157876,next_open_close,static,TRUE,sign,1764,0.474411429337984,1,1,2138,1
linear_minmax_plus_hour,14909,0.590225248503087,33.7129920952751,2.13769008219702,0.0986697042068776,0.141594566800156,0.696846683009656,0.505600643906365,1.2151418626256,0.272184372563569,next_open_close,year,TRUE,sign,1764,0.503253068616272,1,1,2138,10
linear_minmax,12772,0.685402385758675,36.2875407361492,2.13460503927154,0.0982621713387175,0.141102085256337,0.696390639161758,0.507907923582837,1.20722930891458,0.206462867771843,exclude,year,TRUE,zscore_2x,1512,0.521531475101785,0.668951572651496,2,0,10
linear_minmax_plus_hour,12772,0.476912622206145,25.7971493362196,2.08927955308419,0.0693971045542787,0.100310781363686,0.691820994820817,0.502505480739117,0.762543266869754,0.18046993764797,exclude,year,FALSE,zscore_1x,1512,0.517303476354526,0.518528218211717,1,0,10
linear_minmax_plus_hour,12772,0.68275163954607,36.390557249414,2.12033020770913,0.097723945754145,0.141502659242411,0.690615613002241,0.503053554650799,1.19810877005825,0.228063631327864,exclude,year,TRUE,zscore_2x,1512,0.508299404948325,0.677929837025044,2,0,10
linear_minmax_plus_hour,14909,0.434321913301619,25.4519766861865,2.0836006414007,0.0734810754229507,0.106898302081983,0.687392353216199,0.505600643906365,0.82082614286826,0.174066946713289,next_open_close,year,TRUE,zscore_1x,1764,0.503253068616272,0.609471636104327,1,2138,10
linear_minmax_plus_hour,12772,0.632264375893361,34.0131915860872,2.10078100704363,0.0907494459649245,0.13225840499682,0.686152581131663,0.503053554650799,1.08289068253797,0.186507138877021,exclude,year,TRUE,sign,1512,0.508299404948325,1,1,0,10
linear_minmax,14909,0.473905495557774,27.9836145148732,2.06781743459333,0.0797805396511035,0.117531180962467,0.678803182251533,0.50593601180495,0.913134109518095,0.142410064069254,close_to_open,year,TRUE,zscore_1x,1764,0.511905560399759,0.429387829892241,1,2138,10
linear_minmax_plus_hour,14909,0.440871998318975,26.2984952842381,2.0469435825984,0.0743189575639947,0.1104536801938,0.6728518002623,0.498222550137501,0.832872902445374,0.164941685646006,next_open_close,static,TRUE,zscore_1x,1764,0.480850492990811,0.576255318237555,1,2138,1
linear_minmax,12772,0.619616316008288,34.0134243641193,2.05874208581904,0.0886656459680086,0.132259310141259,0.670392472736396,0.507907923582837,1.04951601531477,0.163117261758119,exclude,year,TRUE,sign,1512,0.521531475101785,1,1,0,10
