signal_date,trade_date,trade_type,strategy_model,first_bar_mode,retrain_period,use_train_weights,position_sizing,position,strategy_ret,benchmark_ret,strategy_equity,benchmark_equity
2021-06-04T18:00:00Z,2021-06-04T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.000236686390532537,0.000236686390532537,0.999763313609467,1.00023668639053
2021-06-07T13:00:00Z,2021-06-07T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.00113690194220739,-0.00113690194220739,1.00089994646246,0.999099515359108
2021-06-07T14:00:00Z,2021-06-07T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000497948924667591,-0.000497948924667591,1.0013983435145,0.998602014829799
2021-06-07T15:00:00Z,2021-06-07T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.000379578667679015,0.000379578667679015,1.00177845296355,0.99898106285213
2021-06-07T16:00:00Z,2021-06-07T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.00103160016600468,-0.00103160016600468,1.00074501814517,0.997950513821856
2021-06-07T17:00:00Z,2021-06-07T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.00138875700313346,0.00138875700313346,1.00213480979747,0.999336424586707
2021-06-07T18:00:00Z,2021-06-07T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.000877151391588837,0.000877151391588837,1.0012557858545,1.0002129939222
2021-06-08T13:00:00Z,2021-06-08T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.000379398653134633,0.000379398653134633,1.0008759107579,1.00059247338494
2021-06-08T14:00:00Z,2021-06-08T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.00033183218772237,0.00033183218772237,1.00054378791479,1.0009245021744
2021-06-08T15:00:00Z,2021-06-08T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.001338799109047,0.001338799109047,1.00188331504662,1.00226453900614
2021-06-08T16:00:00Z,2021-06-08T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.00078093570296045,-0.00078093570296045,1.0011009085957,1.00148183484382
2021-06-08T17:00:00Z,2021-06-08T18:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,0.00121968548692686,0.00121968548692686,1.00232193684486,1.0027033277032
2021-06-08T18:00:00Z,2021-06-08T19:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-0.0011117681845062,-0.0011117681845062,1.00120758720484,1.00158855404496
2021-06-09T13:00:00Z,2021-06-09T14:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,1,-2.36490481259066e-05,-2.36490481259066e-05,1.00118390959843,1.00156486742904
2021-06-09T14:00:00Z,2021-06-09T15:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000780455502211397,-0.000780455502211397,1.0019652890894,1.00078319061743
2021-06-09T15:00:00Z,2021-06-09T16:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,-0.000627256050653946,0.000627256050653946,1.00133680029927,1.00141093792914
2021-06-09T16:00:00Z,2021-06-09T17:00:00Z,same_day_next_oc,linear_minmax,exclude,year,FALSE,sign,-1,0.000260201064458898,-0.000260201064458898,1.00159734920059,1.00115036973713
